id,username,password
1,bryan,$2y$10$QsQ/Hjjqrk/BNbDoCPPqxe0tdf4Nt9VS1mz9PGLY1K1pyBtVESDBe
2,kyle,$2y$10$erAMjHkAdBgE6q.30EUcee4nNHVp6DkE7Rd5mmrN5KVb/WkSlpWXO
3,bruce,$2y$10$vzAf1YpDFHv1BeHD1Lcttu84JMsx.Df0eUzcC0zb5W48Yf4KvFC2q
4,britney,$2y$10$P4FDyZV39AGwtv2FMgYTg.nM6FmVv3FtO78kNjzhW8nFBBEzfhAwm
5,jessica,$2y$10$T1A9EJOH7NRNrEpqLZCmbePLSRP23oT49rN/fXOS6KfhqV5OAweDm
7,julie,password
8,jerry,password
9,joshua,password
10,asdfasdf,$2y$10$wrCyyLah42ze5v/y1Q2AVeXnbQxJDhDeBU6QYKp2G1cPw2wO5N1LW
11,john,$2y$10$nLfqCmhhgT64TVALjtl2euD/5TNBIiMq2KSXtxbQYKXWUHgFP4wDq
12,kelly,$2y$10$clv4gQ/2Vf6IfKLdV03V.uuij2fieufishJi.V4xtM1csFPsncyXm
13,fish,$2y$10$ffOzgo1xZX41SzqeOlkBFuDo/Ik2oRYdUKPgq/c6x8DFYy8G9kC06
14,red,$2y$10$iK1rYIUtbefc/7nNwBJkUeiW5JnGm1Rfrt75gSuIbqFKUWTeIPRx6
15,blue,$2y$10$2JjUbfZsSMNr8WpV2i4HHO.rw5vAtZQagjhraAZeCfbDSXuFYcYJ6
